Journal,DisciplinesString
kotuitui new zealand journal of social sciences online,nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne
kovove materialy metallic materials,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
kragujevac journal of mathematics,matematyka
kriterion revista de filosofia,filozofia
kritika kultura,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
kritika explorations in russian and eurasian history,historia;nauki o kulturze i religii;nauki socjologiczne
kritike an online journal of philosophy,filozofia;literaturoznawstwo
kronoscope journal for the study of time,filozofia;historia;literaturoznawstwo;nauki o kulturze i religii;nauki o zarządzaniu i jakości;astronomia
ksce journal of civil engineering,architektura i urbanistyka;inżynieria lądowa i transport
ksii transactions on internet and information systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
kulturno istoricheskaya psikhologiya cultural historical psychology,psychologia
kultur revista interdisciplinaria sobre la cultura de la ciutat,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce;nauki socjologiczne
kunstiteaduslikke uurimusi,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka
kunstliche intelligenz,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
kurdish studies,historia;nauki o kulturze i religii;nauki socjologiczne
kuwait journal of science,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;nauki prawne;astronomia;nauki biologiczne;nauki fizyczne;nauki o ziemi i środowisku"
kuwait medical journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
kvasny prumysl,technologia żywności i żywienia
kwartalnik historii żydow jewish history quarterly,historia;literaturoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne
kybernetes,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki socjologiczne;informatyka"
kybernetika,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;informatyka"
kyiv mohyla humanities journal,historia;literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne;nauki teologiczne
kyklos,historia;architektura i urbanistyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne
kyoto journal of mathematics,matematyka
kyungpook mathematical journal,matematyka
kyushu journal of mathematics,matematyka
l1 educational studies in language and literature,językoznawstwo;literaturoznawstwo
lab animal,weterynaria;zootechnika i rybactwo;nauki biologiczne
lab on a chip,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne"
labor history,historia;nauki o kulturze i religii;ekonomia i finanse;nauki o zarządzaniu i jakości
laboratoire italien politique et societe,historia;nauki o polityce i administracji
laboratorio de arte,nauki o sztuce;architektura i urbanistyka
laboratorium russian review of social research,nauki o kulturze i religii;nauki o polityce i administracji;nauki o zarządzaniu i jakości
journal of laboratory medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
laboratory animals,inżynieria biomedyczna;weterynaria;zootechnika i rybactwo;nauki biologiczne
laboratory investigation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki biologiczne
laboratory medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
laboratory phonology,językoznawstwo
laborhistorico,językoznawstwo
labor studies in working class history of the americas,historia;ekonomia i finanse;nauki o zarządzaniu i jakości
labour & industry a journal of the social and economic relations of work,ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
labour economics,ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne
labour history,historia;ekonomia i finanse;nauki o zarządzaniu i jakości
labour history review,historia;nauki o zarządzaniu i jakości;nauki socjologiczne
labour england,historia;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
labour le travail,historia;nauki o zarządzaniu i jakości
laeknabladid,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
lake and reservoir management,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki biologiczne;nauki o ziemi i środowisku"
lancet,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet child & adolescent health,nauki medyczne;nauki o zdrowiu
lancet diabetes & endocrinology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet gastroenterology & hepatology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
lancet global health,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
lancet haematology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet hiv,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet infectious diseases,nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet neurology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet oncology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet psychiatry,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
lancet public health,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
lancet respiratory medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
land,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki biologiczne;nauki o ziemi i środowisku"
land degradation & development,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne;nauki biologiczne;nauki chemiczne;nauki o ziemi i środowisku"
land economics,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
land use policy,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne"
landbauforschung,rolnictwo i ogrodnictwo
landfall,literaturoznawstwo
landscape and ecological engineering,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;nauki o bezpieczeństwie;nauki biologiczne;nauki o ziemi i środowisku"
landscape and urban planning,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne"
landscape architecture and art,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna
landscape architecture frontiers,architektura i urbanistyka;rolnictwo i ogrodnictwo
landscape architecture magazine,architektura i urbanistyka
landscape ecology,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki biologiczne"
landscape journal,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o ziemi i środowisku"
landscape research,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki biologiczne;nauki o ziemi i środowisku"
landslides,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
langages,językoznawstwo
langenbecks archives of surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
langmuir,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne;nauki fizyczne"
language,językoznawstwo
language & communication,językoznawstwo;nauki o kulturze i religii;nauki o komunikacji społecznej i mediach;nauki socjologiczne;pedagogika;nauki biologiczne
language & history,historia;językoznawstwo
language acquisition,językoznawstwo;nauki o kulturze i religii
language and cognition,językoznawstwo;psychologia
language and dialogue,językoznawstwo;nauki o kulturze i religii;nauki socjologiczne;pedagogika
language and education,językoznawstwo;pedagogika
language and intercultural communication,językoznawstwo;nauki o komunikacji społecznej i mediach;nauki socjologiczne;pedagogika
language and linguistics,językoznawstwo;informatyka techniczna i telekomunikacja
language and linguistics compass,językoznawstwo
language and literacy,literaturoznawstwo;nauki socjologiczne;pedagogika
language and literature,językoznawstwo;literaturoznawstwo
language and psychoanalysis,psychologia
language and sociocultural theory,językoznawstwo;nauki o kulturze i religii;nauki socjologiczne
language and speech,językoznawstwo;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;pedagogika;nauki biologiczne
language assessment quarterly,językoznawstwo
language awareness,językoznawstwo
language cognition and neuroscience,językoznawstwo;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
language culture and curriculum,językoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne;pedagogika
language documentation & conservation,językoznawstwo;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach
language dynamics and change,językoznawstwo
language in society,językoznawstwo;nauki o kulturze i religii;nauki socjologiczne;pedagogika
language learning,językoznawstwo;pedagogika
language learning & technology,językoznawstwo;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;pedagogika
language learning and development,językoznawstwo;pedagogika
language learning in higher education,językoznawstwo
language learning journal,językoznawstwo;pedagogika
language matters,językoznawstwo
language policy,językoznawstwo;nauki socjologiczne
language problems & language planning,językoznawstwo;nauki o komunikacji społecznej i mediach;nauki socjologiczne
language resources and evaluation,językoznawstwo;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach
language sciences,językoznawstwo
language speech and hearing services in schools,językoznawstwo;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;pedagogika
language teaching,językoznawstwo
language teaching research,językoznawstwo;pedagogika
language testing,językoznawstwo;nauki o zdrowiu;psychologia
language variation and change,językoznawstwo;nauki o kulturze i religii
languages in contrast,językoznawstwo
langue francaise,językoznawstwo
lanx journal of the scuola di specializzazione in archeologia of the university of milan,archeologia
laplage em revista,architektura i urbanistyka
lares quadrimestrale di studi demoetnoantropologici,historia;nauki o kulturze i religii;nauki socjologiczne
large animal review,weterynaria;zootechnika i rybactwo
laryngo rhino otologie,nauki medyczne;nauki o zdrowiu
laryngoscope,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
laryngoscope investigative otolaryngology,nauki medyczne;nauki o zdrowiu
laser & photonics reviews,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki fizyczne"
laser and particle beams,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki fizyczne"
